RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
   62   66     0     0  con    0  1.0D+00  8.8D+00  4.627D+02  9.371D+05
   63   67     0     0  con    0  1.0D+00  1.6D+00  5.236D+01  9.366D+05
   64   68     0     0  con    0  1.0D+00  1.1D+00  4.757D+01  9.365D+05
   65   69     0     0  con    0  1.0D+00  3.2D+00  9.611D+01  9.362D+05
   66   70     0     0  con    0  1.0D+00  4.9D+00  1.132D+02  9.359D+05
   67   72     0     0  con    1  4.3D-01  4.5D+00  1.356D+02  9.357D+05
   68   73     0     0  con    0  1.0D+00  3.9D+00  2.501D+01  9.354D+05
   69   74     0     0  con    0  1.0D+00  2.4D+00  3.747D+01  9.353D+05
   70   75     0     0  con    0  1.0D+00  3.7D+00  1.457D+02  9.351D+05
   71   76     0     0  con    0  1.0D+00  4.1D+00  8.538D+01  9.349D+05
   72   77     0     0  con    0  1.0D+00  1.5D+00  2.539D+01  9.347D+05
   73   78     0     0  con    0  1.0D+00  3.2D+00  5.039D+01  9.345D+05
   74   79     0     0  con    0  1.0D+00  2.7D+00  1.643D+02  9.344D+05
   75   80     0     0  con    0  1.0D+00  2.0D+00  1.054D+02  9.343D+05
   76   81     0     0  con    0  1.0D+00  5.6D+00  6.437D+01  9.341D+05
   77   82     0     0  con    0  1.0D+00  2.7D+00  1.322D+02  9.340D+05
   78   83     0     0  con    0  1.0D+00  6.1D-01  6.021D+01  9.339D+05
   79   84     0     0  con    0  1.0D+00  2.7D+00  3.086D+01  9.338D+05
   80   85     0     0  con    0  1.0D+00  2.0D+00  5.616D+01  9.337D+05
   81   86     0     0  con    0  1.0D+00  7.2D+00  1.540D+02  9.336D+05
   82   87     0     0  con    0  1.0D+00  1.3D+00  3.313D+01  9.334D+05
   83   88     0     0  con    0  1.0D+00  7.0D-01  1.728D+01  9.333D+05
   84   89     0     0  con    0  1.0D+00  2.2D+00  5.412D+01  9.332D+05
   85   90     0     0  con    0  1.0D+00  4.8D+00  1.757D+02  9.332D+05
   86   91     0     0  con    0  1.0D+00  7.7D-01  4.836D+01  9.331D+05
   87   92     0     0  con    0  1.0D+00  1.5D+00  2.465D+01  9.330D+05
   88   93     0     0  con    0  1.0D+00  2.3D+00  4.364D+01  9.329D+05
   89   94     0     0  con    0  1.0D+00  3.2D+00  5.136D+01  9.328D+05
   90   96     0     0  con    1  4.0D-01  2.9D+00  1.393D+02  9.328D+05
   91   97     0     0  con    0  1.0D+00  3.4D+00  4.546D+01  9.326D+05
   92   98     0     0  con    0  1.0D+00  1.9D+00  2.626D+01  9.326D+05
   93   99     0     0  con    0  1.0D+00  3.0D+00  1.189D+02  9.325D+05
   94  100     0     0  con    0  1.0D+00  1.9D+00  4.130D+01  9.324D+05
   95  101     0     0  con    0  1.0D+00  1.2D+00  2.211D+01  9.324D+05

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 2.940E+02 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       990780     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.557D+04  1.389D+07
    1    4     1     0  ---    2  1.5D-04  2.1D+01  4.475D+03  1.138D+07
    2    5     0     0  con    0  1.0D+00  6.0D+01  2.533D+04  7.841D+06
    3    6     0     0  con    0  1.0D+00  5.7D+01  5.206D+04  7.124D+06
    4    7     0     0  con    0  1.0D+00  2.0D+01  1.538D+04  6.352D+06
    5    8     0     0  con    0  1.0D+00  2.3D+01  2.132D+03  6.029D+06
    6    9     0     0  con    0  1.0D+00  3.9D+01  4.724D+03  5.656D+06
    7   10     0     0  con    0  1.0D+00  7.5D+01  8.719D+03  5.074D+06
    8   12     0     0  con    1  4.5D-01  9.4D+01  1.426D+04  4.675D+06
    9   13     0     0  con    0  1.0D+00  7.4D+01  5.311D+03  4.260D+06
   10   14     0     0  con    0  1.0D+00  6.5D+01  6.226D+03  3.809D+06
   11   15     0     0  con    0  1.0D+00  1.3D+02  1.055D+04  3.272D+06
   12   16     0     0  con    0  1.0D+00  1.6D+02  1.101D+04  2.808D+06
   13   17     0     0  con    0  1.0D+00  3.8D+01  4.045D+03  2.447D+06
   14   18     0     0  con    0  1.0D+00  1.0D+02  2.175D+03  2.039D+06
   15   19     0     0  con    0  1.0D+00  1.6D+02  9.202D+03  1.584D+06
   16   21     0     0  con    1  1.9D-01  4.1D+01  4.852D+03  1.502D+06
   17   22     0     0  con    0  1.0D+00  3.0D+01  3.652D+03  1.449D+06
   18   23     0     0  con    0  1.0D+00  7.3D+01  1.889D+03  1.290D+06
   19   24     0     0  con    0  1.0D+00  4.1D+01  4.014D+02  1.233D+06
   20   25     0     0  con    0  1.0D+00  5.8D+01  1.561D+03  1.156D+06
   21   26     0     0  con    0  1.0D+00  4.9D+01  2.216D+03  1.112D+06
   22   27     0     0  con    0  1.0D+00  2.1D+01  1.089D+03  1.077D+06
   23   28     0     0  con    0  1.0D+00  1.0D+01  6.628D+02  1.060D+06
   24   29     0     0  con    0  1.0D+00  3.9D+01  5.682D+02  1.029D+06
   25   30     0     0  con    0  1.0D+00  2.0D+01  1.243D+03  1.019D+06
   26   31     0     0  con    0  1.0D+00  8.1D+00  3.077D+02  1.005D+06
   27   32     0     0  con    0  1.0D+00  1.8D+01  3.037D+02  9.943D+05
   28   33     0     0  con    0  1.0D+00  1.3D+01  3.155D+02  9.858D+05
   29   34     0     0  con    0  1.0D+00  2.1D+01  4.748D+02  9.778D+05
   30   35     0     0  con    0  1.0D+00  9.0D+00  2.963D+02  9.714D+05
   31   36     0     0  con    0  1.0D+00  6.3D+00  1.884D+02  9.674D+05
   32   37     0     0  con    0  1.0D+00  1.3D+01  3.549D+02  9.626D+05
   33   38     0     0  con    0  1.0D+00  1.7D+01  5.259D+02  9.600D+05
   34   39     0     0  con    0  1.0D+00  3.9D+00  1.799D+02  9.567D+05
   35   40     0     0  con    0  1.0D+00  4.0D+00  1.031D+02  9.549D+05
   36   41     0     0  con    0  1.0D+00  7.7D+00  1.723D+02  9.529D+05
   37   42     0     0  con    0  1.0D+00  1.4D+01  7.218D+02  9.519D+05
   38   43     0     0  con    0  1.0D+00  2.9D+00  1.381D+02  9.496D+05
   39   44     0     0  con    0  1.0D+00  2.6D+00  9.938D+01  9.486D+05
   40   45     0     0  con    0  1.0D+00  5.4D+00  1.742D+02  9.475D+05
   41   46     0     0  con    0  1.0D+00  9.0D+00  2.351D+02  9.459D+05
   42   48     0     0  con    1  4.3D-01  7.4D+00  3.410D+02  9.450D+05
   43   49     0     0  con    0  1.0D+00  5.7D+00  4.366D+01  9.440D+05
   44   50     0     0  con    0  1.0D+00  4.2D+00  8.073D+01  9.432D+05
   45   51     0     0  con    0  1.0D+00  6.2D+00  2.209D+02  9.424D+05
   46   52     0     0  con    0  1.0D+00  8.9D+00  2.258D+02  9.418D+05
   47   53     0     0  con    0  1.0D+00  2.0D+00  3.105D+01  9.411D+05
   48   54     0     0  con    0  1.0D+00  3.0D+00  7.435D+01  9.405D+05
   49   55     0     0  con    0  1.0D+00  4.0D+00  1.160D+02  9.401D+05
   50   56     0     0  con    0  1.0D+00  1.1D+01  3.974D+02  9.398D+05
   51   57     0     0  con    0  1.0D+00  1.5D+00  3.864D+01  9.390D+05
   52   58     0     0  con    0  1.0D+00  1.2D+00  3.374D+01  9.387D+05
   53   59     0     0  con    0  1.0D+00  3.9D+00  6.523D+01  9.383D+05
   54   60     0     0  con    0  1.0D+00  6.3D+00  2.977D+02  9.379D+05
   55   61     0     0  con    0  1.0D+00  5.8D+00  5.025D+01  9.374D+05
   56   62     0     0  con    0  1.0D+00  2.4D+00  4.777D+01  9.371D+05
   57   63     0     0  con    0  1.0D+00  4.2D+00  7.511D+01  9.368D+05
   58   64     0     0  con    0  1.0D+00  5.7D+00  1.460D+02  9.366D+05
   59   65     0     0  con    0  1.0D+00  2.0D+00  4.413D+01  9.362D+05
   60   66     0     0  con    0  1.0D+00  3.2D+00  4.192D+01  9.359D+05
   61   67     0     0  con    0  1.0D+00  2.9D+00  7.596D+01  9.357D+05
   62   68     0     0  con    0  1.0D+00  7.2D+00  2.092D+02  9.356D+05
   63   69     0     0  con    0  1.0D+00  2.0D+00  3.656D+01  9.352D+05
   64   70     0     0  con    0  1.0D+00  1.1D+00  3.401D+01  9.351D+05
   65   71     0     0  con    0  1.0D+00  3.1D+00  5.721D+01  9.349D+05
   66   72     0     0  con    0  1.0D+00  5.3D+00  1.677D+02  9.347D+05
   67   73     0     0  con    0  1.0D+00  3.0D+00  4.644D+01  9.345D+05
   68   74     0     0  con    0  1.0D+00  1.8D+00  2.816D+01  9.343D+05
   69   75     0     0  con    0  1.0D+00  2.6D+00  4.036D+01  9.342D+05
   70   76     0     0  con    0  1.0D+00  4.4D+00  1.855D+02  9.340D+05
   71   77     0     0  con    0  1.0D+00  4.0D+00  3.189D+01  9.338D+05
   72   78     0     0  con    0  1.0D+00  1.6D+00  3.341D+01  9.337D+05
   73   79     0     0  con    0  1.0D+00  3.2D+00  1.008D+02  9.335D+05
   74   80     0     0  con    0  1.0D+00  3.3D+00  8.915D+01  9.334D+05
   75   81     0     0  con    0  1.0D+00  1.2D+00  3.983D+01  9.333D+05
   76   82     0     0  con    0  1.0D+00  3.6D+00  4.028D+01  9.332D+05
   77   83     0     0  con    0  1.0D+00  2.0D+00  4.563D+01  9.331D+05
   78   84     0     0  con    0  1.0D+00  5.2D+00  7.803D+01  9.329D+05
   79   85     0     0  con    0  1.0D+00  2.8D+00  1.039D+02  9.328D+05
   80   86     0     0  con    0  1.0D+00  8.9D-01  6.356D+01  9.327D+05
   81   87     0     0  con    0  1.0D+00  2.2D+00  3.729D+01  9.326D+05
   82   88     0     0  con    0  1.0D+00  2.9D+00  1.074D+02  9.326D+05
   83   89     0     0  con    0  1.0D+00  2.8D+00  4.818D+01  9.325D+05
   84   90     0     0  con    0  1.0D+00  2.6D+00  3.636D+01  9.324D+05
   85   91     0     0  con    0  1.0D+00  2.4D+00  6.086D+01  9.323D+05
   86   92     0     0  con    0  1.0D+00  2.1D+00  3.441D+01  9.322D+05
   87   93     0     0  con    0  1.0D+00  2.5D+00  3.594D+01  9.321D+05
   88   94     0     0  con    0  1.0D+00  3.1D+00  8.030D+01  9.321D+05
   89   95     0     0  con    0  1.0D+00  7.2D-01  3.068D+01  9.320D+05
   90   96     0     0  con    0  1.0D+00  1.5D+00  2.962D+01  9.320D+05
   91   97     0     0  con    0  1.0D+00  2.0D+00  4.701D+01  9.319D+05
   92   98     0     0  con    0  1.0D+00  4.6D+00  1.115D+02  9.319D+05
   93   99     0     0  con    0  1.0D+00  1.1D+00  3.286D+01  9.318D+05
   94  100     0     0  con    0  1.0D+00  7.3D-01  2.803D+01  9.317D+05
   95  101     0     0  con    0  1.0D+00  1.7D+00  4.525D+01  9.317D+05

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 3.831E+02 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       990780     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.808D+04  1.394D+07
    1    4     1     0  ---    2  1.4D-04  2.1D+01  5.047D+03  1.140D+07
    2    5     0     0  con    0  1.0D+00  6.0D+01  2.239D+04  7.832D+06
    3    6     0     0  con    0  1.0D+00  5.5D+01  4.748D+04  7.047D+06
    4    7     0     0  con    0  1.0D+00  2.3D+01  1.477D+04  6.305D+06
    5    8     0     0  con    0  1.0D+00  2.6D+01  2.574D+03  5.965D+06
    6    9     0     0  con    0  1.0D+00  4.2D+01  5.198D+03  5.583D+06
    7   10     0     0  con    0  1.0D+00  9.0D+01  2.288D+04  5.246D+06
    8   11     0     0  con    0  1.0D+00  6.3D+01  6.707D+03  4.725D+06
    9   12     0     0  con    0  1.0D+00  4.3D+01  3.277D+03  4.399D+06
   10   13     0     0  con    0  1.0D+00  9.1D+01  7.676D+03  3.877D+06
   11   14     0     0  con    0  1.0D+00  1.7D+02  2.136D+04  3.536D+06
   12   15     0     0  con    0  1.0D+00  5.4D+01  6.868D+03  2.951D+06
   13   16     0     0  con    0  1.0D+00  3.3D+01  3.690D+03  2.668D+06
   14   17     0     0  con    0  1.0D+00  1.3D+02  6.683D+03  2.226D+06
   15   18     0     0  con    0  1.0D+00  1.2D+02  3.744D+04  2.046D+06
   16   19     0     0  con    0  1.0D+00  1.8D+01  5.029D+03  1.744D+06
   17   20     0     0  con    0  1.0D+00  5.8D+01  5.105D+03  1.674D+06
   18   21     0     0  con    0  1.0D+00  3.3D+01  5.555D+03  1.610D+06
   19   22     0     0  con    0  1.0D+00  9.0D+01  6.059D+03  1.466D+06
   20   23     0     0  con    0  1.0D+00  5.3D+01  1.990D+04  1.439D+06
   21   24     0     0  con    0  1.0D+00  2.2D+01  4.092D+03  1.359D+06
   22   25     0     0  con    0  1.0D+00  1.7D+01  1.724D+03  1.333D+06
   23   26     0     0  con    0  1.0D+00  2.5D+01  2.753D+03  1.308D+06
   24   27     0     0  con    0  1.0D+00  3.3D+01  1.295D+03  1.243D+06
   25   28     0     0  con    0  1.0D+00  6.9D+01  1.590D+03  1.170D+06
   26   29     0     0  con    0  1.0D+00  3.7D+01  8.469D+02  1.112D+06
   27   30     0     0  con    0  1.0D+00  2.3D+01  5.279D+02  1.078D+06
   28   31     0     0  con    0  1.0D+00  2.8D+01  8.966D+02  1.053D+06
   29   32     0     0  con    0  1.0D+00  3.1D+01  1.380D+03  1.035D+06
   30   33     0     0  con    0  1.0D+00  1.4D+01  5.860D+02  1.019D+06
   31   34     0     0  con    0  1.0D+00  1.4D+01  4.295D+02  1.005D+06
   32   35     0     0  con    0  1.0D+00  2.1D+01  4.422D+02  9.923D+05
   33   36     0     0  con    0  1.0D+00  1.8D+01  6.328D+02  9.833D+05
   34   37     0     0  con    0  1.0D+00  9.2D+00  1.989D+02  9.749D+05
   35   38     0     0  con    0  1.0D+00  1.3D+01  4.422D+02  9.690D+05
   36   39     0     0  con    0  1.0D+00  1.1D+01  4.812D+02  9.651D+05
   37   40     0     0  con    0  1.0D+00  7.3D+00  2.250D+02  9.615D+05
   38   41     0     0  con    0  1.0D+00  1.1D+01  1.651D+02  9.579D+05
   39   42     0     0  con    0  1.0D+00  8.7D+00  2.850D+02  9.554D+05
   40   43     0     0  con    0  1.0D+00  7.6D+00  1.293D+02  9.530D+05
   41   44     0     0  con    0  1.0D+00  8.8D+00  1.181D+02  9.510D+05
   42   45     0     0  con    0  1.0D+00  7.3D+00  2.048D+02  9.495D+05
   43   46     0     0  con    0  1.0D+00  5.9D+00  9.784D+01  9.481D+05
   44   47     0     0  con    0  1.0D+00  7.6D+00  1.211D+02  9.467D+05
   45   48     0     0  con    0  1.0D+00  6.9D+00  2.335D+02  9.457D+05
   46   49     0     0  con    0  1.0D+00  4.5D+00  9.298D+01  9.447D+05
   47   50     0     0  con    0  1.0D+00  6.9D+00  9.527D+01  9.437D+05
   48   51     0     0  con    0  1.0D+00  6.9D+00  2.703D+02  9.430D+05
   49   52     0     0  con    0  1.0D+00  2.6D+00  1.203D+02  9.423D+05
   50   53     0     0  con    0  1.0D+00  5.2D+00  5.120D+01  9.416D+05
   51   54     0     0  con    0  1.0D+00  5.1D+00  2.675D+02  9.411D+05
   52   55     0     0  con    0  1.0D+00  6.4D+00  8.221D+01  9.404D+05
   53   56     0     0  con    0  1.0D+00  5.1D+00  7.362D+01  9.399D+05
   54   57     0     0  con    0  1.0D+00  5.2D+00  1.109D+02  9.394D+05
   55   58     0     0  con    0  1.0D+00  3.5D+00  7.867D+01  9.390D+05
   56   59     0     0  con    0  1.0D+00  4.6D+00  4.258D+01  9.385D+05
   57   60     0     0  con    0  1.0D+00  5.5D+00  1.544D+02  9.381D+05
   58   61     0     0  con    0  1.0D+00  3.4D+00  7.409D+01  9.378D+05
   59   62     0     0  con    0  1.0D+00  3.5D+00  4.230D+01  9.374D+05
   60   63     0     0  con    0  1.0D+00  4.9D+00  1.585D+02  9.371D+05
   61   64     0     0  con    0  1.0D+00  4.4D+00  4.685D+01  9.368D+05
   62   65     0     0  con    0  1.0D+00  3.0D+00  3.790D+01  9.365D+05
   63   66     0     0  con    0  1.0D+00  5.0D+00  1.351D+02  9.363D+05
   64   67     0     0  con    0  1.0D+00  3.7D+00  1.072D+02  9.360D+05
   65   68     0     0  con    0  1.0D+00  1.7D+00  6.760D+01  9.358D+05
   66   69     0     0  con    0  1.0D+00  4.5D+00  9.574D+01  9.356D+05
   67   70     0     0  con    0  1.0D+00  4.4D+00  1.944D+02  9.354D+05
   68   71     0     0  con    0  1.0D+00  8.8D-01  7.758D+01  9.353D+05
   69   72     0     0  con    0  1.0D+00  2.9D+00  3.437D+01  9.351D+05
   70   73     0     0  con    0  1.0D+00  2.6D+00  6.444D+01  9.349D+05
   71   74     0     0  con    0  1.0D+00  8.4D+00  2.067D+02  9.348D+05
   72   75     0     0  con    0  1.0D+00  9.9D-01  2.383D+01  9.345D+05
   73   76     0     0  con    0  1.0D+00  7.8D-01  1.999D+01  9.345D+05
   74   77     0     0  con    0  1.0D+00  3.2D+00  5.670D+01  9.343D+05
   75   79     0     0  con    1  5.2D-01  2.9D+00  9.035D+01  9.342D+05
   76   80     0     0  con    0  1.0D+00  3.2D+00  4.397D+01  9.341D+05
   77   81     0     0  con    0  1.0D+00  3.4D+00  1.547D+01  9.339D+05
   78   82     0     0  con    0  1.0D+00  3.6D+00  7.571D+01  9.338D+05
   79   83     0     0  con    0  1.0D+00  2.6D+00  6.147D+01  9.337D+05
   80   84     0     0  con    0  1.0D+00  2.0D+00  3.155D+01  9.336D+05
   81   85     0     0  con    0  1.0D+00  3.6D+00  8.448D+01  9.335D+05
   82   86     0     0  con    0  1.0D+00  1.9D+00  4.526D+01  9.334D+05
   83   87     0     0  con    0  1.0D+00  1.7D+00  4.975D+01  9.333D+05
   84   88     0     0  con    0  1.0D+00  3.6D+00  9.350D+01  9.332D+05
   85   89     0     0  con    0  1.0D+00  3.9D+00  1.124D+02  9.331D+05
   86   90     0     0  con    0  1.0D+00  6.8D-01  2.852D+01  9.330D+05
   87   91     0     0  con    0  1.0D+00  1.8D+00  3.462D+01  9.329D+05
   88   92     0     0  con    0  1.0D+00  2.0D+00  3.898D+01  9.329D+05
   89   93     0     0  con    0  1.0D+00  5.8D+00  2.124D+02  9.328D+05
   90   94     0     0  con    0  1.0D+00  1.2D+00  1.803D+01  9.327D+05
   91   95     0     0  con    0  1.0D+00  5.1D-01  2.917D+01  9.327D+05
   92   96     0     0  con    0  1.0D+00  1.8D+00  5.576D+01  9.326D+05
   93   97     0     0  con    0  1.0D+00  3.2D+00  7.985D+01  9.325D+05
   94   98     0     0  con    0  1.0D+00  4.8D+00  5.122D+01  9.324D+05
   95   99     0     0  con    0  1.0D+00  9.7D-01  1.723D+01  9.323D+05
   96  100     0     0  con    0  1.0D+00  1.9D+00  6.803D+01  9.323D+05
   97  101     0     0  con    0  1.0D+00  2.2D+00  7.817D+01  9.322D+05

STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT        

 Total User time 3.889E+02 seconds.

RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       990780     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.352D+04  1.406D+07
    1    4     1     0  ---    2  1.4D-04  2.1D+01  5.325D+03  1.148D+07
    2    5     0     0  con    0  1.0D+00  5.9D+01  1.849D+04  7.865D+06
    3    6     0     0  con    0  1.0D+00  5.5D+01  4.309D+04  7.076D+06
    4    7     0     0  con    0  1.0D+00  2.3D+01  1.153D+04  6.311D+06
    5    8     0     0  con    0  1.0D+00  2.6D+01  1.590D+03  5.969D+06
    6    9     0     0  con    0  1.0D+00  4.2D+01  5.691D+03  5.583D+06
    7   10     0     0  con    0  1.0D+00  9.2D+01  2.384D+04  5.236D+06
    8   11     0     0  con    0  1.0D+00  6.3D+01  6.816D+03  4.711D+06
    9   12     0     0  con    0  1.0D+00  4.5D+01  2.710D+03  4.377D+06
   10   13     0     0  con    0  1.0D+00  9.3D+01  5.395D+03  3.838D+06
   11   14     0     0  con    0  1.0D+00  1.6D+02  1.842D+04  3.392D+06
